,MSG_ID,RECEIVE_DT,FRM_EMAIL
0,18447c15a9d28bce,2022-11-05,mint@em1.mint.intuit.com
1,1844403ed04512a0,2022-11-04,bluetooth-dev-request@lists.apple.com
2,18443fa0c23e3216,2022-11-04,mint@em1.mint.intuit.com
3,18443b7322540e03,2022-11-04,no-reply@alertsp.chase.com
4,184439ba74085616,2022-11-04,noreply@robinhood.com
5,1843edd768f88e0e,2022-11-03,bluetooth-dev-request@lists.apple.com
6,1843d4154714aa20,2022-11-03,noreply@medium.com
7,1843cf40ffa5af3e,2022-11-03,no.reply.alerts@chase.com
8,1843c4c348a5a5ca,2022-11-03,AmericanExpress@welcome.americanexpress.com
9,1843c2f6d3af24b2,2022-11-03,no-reply@coinbase.com
10,184392dc3f07869d,2022-11-02,Coursera@email.coursera.org
11,1843782e48a1a102,2022-11-02,no-reply@m.mail.coursera.org
12,1843765017300c98,2022-11-02,no-reply@coinbase.com
13,18434322e52ccc70,2022-11-01,
